name,whisky_type,concentration,rating,review_count,price,description
Shizuoka Single Malt Prologue K and Prologue W2x20cl,Single Malt Japanese WhiskyDistillery Bottling,40cl / 55.5%,no rating,0,£199,"A pair of Japanese single malts from Shizuoka Distillery, an up-and-coming distillery that repurposed equipment from the now-closed Karuizawa distillery. Prologue K was made in an ex-Karuizawa still and matured in first-fill bourbon casks, creating notes of white peaches, vanilla, white pepper and fennel seeds throughout the palate. Prologue W was made using a wood-fired still, know as Pot Still W, and matured in ex-bourbon casks, creating notes of honey, apples, apricots, lemon sponge cake and delicate smoke that linger in the finish."
Kaiyo Mizunara Oak Cask Strength,Japanese Blended Malt Whisky,70cl / 53%,5,3,£110,"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood."
Hakushu 10 Year Old,Japanese Single Malt Whisky,70cl / 40.5%,5,1,£399,"A younger expression of Hakushu, this well-mannered 10yo represents one of the gentlest introductions to the elegant, impeccably-constructed qualities of Japanese malt whisky."
Chichibu 2012Peated Single Cask #2089 TWE Exclusive,Japanese Single Malt WhiskyChichibu Distillery,70cl / 60.8%,5,5,"£1,850","Single cask of peated spirit was distilled at Chichibu in 2012. Hand-selected by The Whisky Exchange for its rich and full texture, flavours of barbecue smoke and plum sauce, and its lingering finish."
The House of Suntory Triology Pack3x20cl,Suntory,60cl / 42%,no rating,0,£44.95,"Explore the spirits of the House of Suntory with this Suntory Trilogy set. The trilogy includes Haku vodka, Roku gin and Toki whisky, showing off why Suntory is popular for more than just its whisky."
Kaiyo Peated Mizunara Oak,Japanese Blended Malt Whisky,70cl / 46%,no rating,0,£99.95,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish."
Ichiro's Malt & GrainJapanese Blended Whisky 2021,Japanese Blended Whisky,70cl / 48.5%,no rating,0,"£2,250","The limited-edition 2021 release of Ichiro's Malt & Grain Japanese blended whisky from the ever-popular Chichibu is a fruity, complex whisky with notes of dried fruit, juicy plums, baking spices and peppery oak throughout the palate."
Chichibu The Peated 2011Bot.2015,Japanese Single Malt Whisky,70cl / 62.5%,5,3,£800,"The 2011 vintage of Chichibu's sought-after peated whisky has been left for an extra year for this release. The strongest yet at a cask strength of 62.5%, this is big, bold and intensely smoky, with spice and sweetness – a complex whisky."
Nikka Coffey Grain Whisky Show Package2 Sunday Tickets,Japanese Single Grain Whisky,70cl / 43%,no rating,0,£264,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This set also includes a pair of Sunday Tickets to Whisky Show 2022."
Karuizawa 34 Year Old Cask #3668Ruby Geisha,Japanese Single Malt Whisky,70cl / 58.5%,no rating,0,"£28,000",The younger half of the Ruby Geishas – the penultimate release in the Karuizawa Geisha series – this 34-year-old release is exclusive to The Whisky Exchange and being sold by ballot. It was matured in a single sherry butt and its time in cask have given it a rich and complex character with layers of sherry-oak and spice.
Akashi 5 Year OldSherry Cask Half Litre,Japanese Single Malt Whisky,50cl / 50%,5,2,£150,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky."
Nikka Coffey Grain Whisky Show Package1 Sunday Ticket,Japanese Single Grain Whisky,70cl / 43%,no rating,0,£165,"A great ticket bundle to get you in the mood for Whisky Show 2022, complete with a bottle of Nikka Coffey Grain whisky, a Nikka tumbler and round ice mould, and a tasting book from The Whisky Exchange. This bundle also includes a Sunday ticket to Whisky Show 2022."
Yoichi 1988Cask 100212,Japanese Single Malt Whisky,75cl / 62%,no rating,0,"£8,000",no description
Karuizawa 38 Year Old Cask #7582Ruby Geisha,Japanese Single Malt Whisky,70cl / 54.1%,no rating,0,"£37,500","The older of the Karuizawa Geisha pair – the penultimate release in the Karuizawa Geisha series – this 38-year-old whisky was matured in a sherry butt and shows off the classic character of the lost Japanese distilleries famed whiskies: a careful balance of sweet and savoury notes, run through with dark oak and spice. Due to the limited number of bottles available, this is being sold by ballot."
Karuizawa 31 Year OldSapphire Geisha,Japanese Single Malt Whisky,70cl / 58.9%,no rating,0,"£27,500","A 31-year-old Karuizawa single malt, matured in a single sherry cask for more than three decades before being bottled by Elixir Distillers exclusively for The Whisky Exchange's Karuizawa Geishas series. The bottle features a label designed by our creative director Raj Chavda, paying homage to the exquisite, inaccessible beauty of the meiko on her way to become geisha."
Ichiro's Malt & GrainJapanese Blended Whisky 2019,Japanese Blended WhiskyDistillery Bottling,70cl / 48%,no rating,0,"£2,750","A blended whisky from the king of independent Japanese distillers, Ichiro Akuto, bottled in 2019. The nose is full of citrus and peach aromas, with wafts of vanilla in the background, while the palate offers notes of caramel and toasted oak as well."
Karuizawa 38 Year OldPearl Geisha,Japanese Single Malt Whisky,70cl / 62.1%,no rating,0,"£37,500","Bottled by Elixir Distillers, this 38-year-old Karuizawa single malt is currently the oldest whisky in the prestigious Geisha series."
Yamazaki Mizunara 18 Year Old2017 Edition,Japanese Single Malt WhiskyDistillery Bottling,70cl / 48%,no rating,0,"£10,000","An incredibly rare and sought-after release from pioneering Japanese distiller Yamazaki. Created by master blender Shinji Fukuyo using Yamazaki’s decades of experience with mizunara – Japanese oak – and whiskies from 18 to 50 years of age, this very limited release showcases the wood’s unique effect on maturing spirit. Layers of exotic spices and incense notes mingle with fruit: a masterclass in Japanese whisky."
Karuizawa 1970Cask 1985,Japanese Single Malt Whisky,70cl / 59.1%,no rating,0,"£30,000",no description
Suntory Torys Classic,Japanese Blended WhiskyDistillery Bottling,70cl / 37%,3.5,2,£30.45,"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain."
Karuizawa 1984Bot.2014 Sherry Cask #3657,Japanese Single Malt WhiskyDistillery Bottling,75cl / 59.7%,no rating,0,"£15,000",no description
Karuizawa 1983Bot.2014 Sherry Cask,Japanese Single Malt Whisky,70cl / 59.1%,5,2,"£15,000",This 1983 Karuizawa has spent its life in first-fill sherry casks and was bottled in 2014 for a private customer.
Karuizawa 1981Bot.2014 Sherry Cask,Japanese Single Malt Whisky,70cl / 63.4%,no rating,0,"£15,000","Whiskies from Karuizawa are some of the most sought after in the world. Not only has the distillery closed, but its heavily sherried drams have a reputation for excellence that has only grown over the past few years. This 1981 sherry-cask-matured dram was previewed at The Whisky Show 2014, where it went down a storm."
Karuizawa 29 Year OldAika Geisha Bourbon Cask #8897,Japanese Single Malt Whisky,70cl / 53.9%,no rating,0,"£27,500","One of a pair of mirror-image labelled bottles released at The Whisky Exchange Whisky Show 2014. This is the bourbon-matured half of the duo, although its deep and rich colour is more reminiscent of a heavily sherried dram. This sold out during the weekend of The Whisky Show."
Karuizawa 198429 Years Old Sherry Cask #3662,Japanese Single Malt WhiskyDistillery Bottling,70cl / 61%,no rating,0,"£15,000","This sherry-matured Karuizawa was a joint bottling between The Whisky Exchange and Japanese company Shinanoya. Distilled in 1984 and aged for 29 years, 271 bottles were produced at 61%."
Karuizawa 30 Year OldFirst Geisha Bourbon Cask #8606,Japanese Single Malt WhiskyDistillery Bottling,70cl / 55.8%,no rating,0,"£18,000","A contrast to its companion 31yo sherried release, this Karuizawa 30 year old has been matured solely in bourbon casks. A break from the distillery's usual character and one of only a handful of similar releases – intense and showing another side of this closed, cult distillery."
Karuizawa 1984Bot.2013 Sherry Cask #3663,Japanese Single Malt WhiskyDistillery Bottling,70cl / 56.8%,5,1,"£15,000","A great single cask bottling from closed Karuizawa - distilled in 1984, matured in sherry cask #3663 and bottled in 2013. Big, rich and packed with sherry fruit."
Karuizawa 1981Sherry Cask #6056,Japanese Single Malt WhiskyDistillery Bottling,70cl / 60.3%,no rating,0,"£17,500","An incredibly intense 1981 vintage bottling from cult closed Japanese distillery Karuizawa. Aged in a sherry cask for more than 30 years, this is another excellent example from this legendary distillery – it might just be the best one that we've bottled."
Karuizawa 1981Cask #103,Japanese Single Malt Whisky,70cl / 58.1%,no rating,0,"£15,000","A bottling of Cask No. 103 from the tiny Karuizawa distillery, which uses small stills, wooden washbacks and sherry casks to produce a quality malt. This is the oldest expression we have seen so far from this distillery and has been extremely popular. One of only 10 Gold Medal-winners at the Malt Maniac's Awards 2007."
